Taxonomy,Count
Removal Additional Information,40
Rephrase,254
N/A,17
Addition Additional Information,83
Modification Consideration,203
Modification Output Instruction,80
Modification Example,35
Modification Additional Information,31
Addition Consideration,291
Removal Consideration,75
Formatting,116
Modification Role,22
Correction,71
Modification Directive,2
Removal Role,4
Addition Example,33
Addition Output Instruction,29
Restructure,29
Generalization,34
Addition Role,4
Removal Example,7
Removal Output Instruction,3
